user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What are the admission requirements for incoming freshmen?,"['9 | S T U D E N T M A N U A L Chapter II ACADEMIC REQUIREMENTS, PROCESS AND PROCEDURES The University shall admit or re-admit students who meet the following requirements: 1. GENERAL ADMISSION REQUIREMENTS FOR ALL ACADEMIC PROGRAMS a. Incoming Freshmen must submit the following: 1.a.1. Report Card (Form 138); 1.a.2. Certificate of Good Moral Character; 1.a.3. Photocopy of Senior High School Diploma; 1.a.4. University Admission Test Result; 1.a.5. Four (4) Copies of 2x2 ID Picture; 1.a.6. Certificate of Physical/Medical Examination; 1.a.7. PSA/NSO Authenticated Copy of Birth Certificate; and 1.a.8. Other requirements prescribed by the College/Department, CHED, PRC as deemed necessary. b. Transferees from SUCs and Non SUCs must submit the following: 1.b.1. Certification of Grades showing all the subjects taken from the school last attended; 1.b.2. Honorable Dismissal; 1.b.3. Certificate of Good Moral Character; 1.b.4. Four (4) copies of 2x2 ID picture with white background and name tag (scanned picture or digital copy not accepted); 1.b.5. Authenticated PSA copy of Birth Certificate; 1.b.6. Accomplished Substitution Form of subjects taken from other SUCs as deemed necessary; and 1.b.7. Accomplished Validation Form of subjects taken from non- SUCs.', '10 | S T U D E N T M A N U A L Note: All incoming freshmen and transferee students must comply with additional requirements and pass the following: 1. Entrance / admission test administered by the Office of Student Affairs and Services; 2. Interview of the screening committee of the college; and 3. Medical and dental examination administered by the University. c. Foreign Students must submit the following: 1.c.1. University Admission Test/College Admission Test; 1.c.2. Passport/ Valid Student Visa/ Student Study Permit/ Student Visa Conversion; 1.c.3. Four (4) copies of 2x2 colored ID picture; 1.c.4. Student permit - certification from the embassy of the country of origin for his/ her eligibility to study in the Philippines; 1.c.5. Two (2) copies of affidavit of support or certification from a reputable bank in the applicant’s country of origin about his/her capability to finance travel, educational, personal and other expenses that are expected to be incurred while staying in the Philippines; 1.c.6. Authenticated copy of birth certificate; 1.c.7. Certificate of completion of a secondary curriculum or its equivalent (Authenticated TOR from the school/university graduated in the home country); 1.c.8. Pay the non-refundable application fee; 1.c.9. Certificate of good moral character issued by the last school attended; 1.c.10. Security clearance from the Philippine Embassy; 1.c.11. Alien Certification of Registration (ARC); 1.c.12. Statement of Personal History; 1.c.13. English Proficiency Test score. For test of English as a foreign language (TOFEL), the score must be equivalent to at least 80 or a band score of at least 5.0 in an International English Language Testing System (IELTS);']","Incoming freshmen need to submit a Report Card, Certificate of Good Moral Character, Senior High School Diploma, University Admission Test Result, four copies of 2x2 ID picture, Certificate of Physical/Medical Examination, and PSA/NSO Authenticated Copy of Birth Certificate. They also have to comply with additional requirements like passing an entrance test, interview by the screening committee, and medical examination.

Do you need more details on any specific requirement?","Incoming freshmen must submit Report Card (Form 138), Certificate of Good Moral Character, photocopy of Senior High School Diploma, University Admission Test Result, four copies of 2x2 ID picture, Certificate of Physical/Medical Examination, and a PSA/NSO authenticated Birth Certificate, plus any other requirements prescribed by the College/Department, CHED, or PRC.",1.0,0.7668493786414634,1.0,0.99999999995
What documents must a transferee submit for admission?,"['10 | S T U D E N T M A N U A L Note: All incoming freshmen and transferee students must comply with additional requirements and pass the following: 1. Entrance / admission test administered by the Office of Student Affairs and Services; 2. Interview of the screening committee of the college; and 3. Medical and dental examination administered by the University. c. Foreign Students must submit the following: 1.c.1. University Admission Test/College Admission Test; 1.c.2. Passport/ Valid Student Visa/ Student Study Permit/ Student Visa Conversion; 1.c.3. Four (4) copies of 2x2 colored ID picture; 1.c.4. Student permit - certification from the embassy of the country of origin for his/ her eligibility to study in the Philippines; 1.c.5. Two (2) copies of affidavit of support or certification from a reputable bank in the applicant’s country of origin about his/her capability to finance travel, educational, personal and other expenses that are expected to be incurred while staying in the Philippines; 1.c.6. Authenticated copy of birth certificate; 1.c.7. Certificate of completion of a secondary curriculum or its equivalent (Authenticated TOR from the school/university graduated in the home country); 1.c.8. Pay the non-refundable application fee; 1.c.9. Certificate of good moral character issued by the last school attended; 1.c.10. Security clearance from the Philippine Embassy; 1.c.11. Alien Certification of Registration (ARC); 1.c.12. Statement of Personal History; 1.c.13. English Proficiency Test score. For test of English as a foreign language (TOFEL), the score must be equivalent to at least 80 or a band score of at least 5.0 in an International English Language Testing System (IELTS);', '11 | S T U D E N T M A N U A L 1.c.14. Medical certificate and drug test result; 1.c.15. Meet all the prescribed requirements by the Department of Foreign Affairs, Bureau of Immigration and Deportation, and the Commission on Higher Education; 1.c.16. Pass the health examination conducted by the University Infirmary; and 1.c.18. Present an approved application form. 2. VALIDATION OF SUBJECTS A transferee who comes from a non-SUC shall: 2.1. Submit credentials for evaluation; 2.2. Secure a validation from the Registrar’s Office; 2.3. Pay validation fee; 2.4. Present receipt of validation fee to the Dean; 2.5. Report to the Program Chair for test validation; and 2.6. Submit validation test results to the Registrar’s Office and proceed for enrollment. a. Returning Students A returning student must submit the following: 2.a.1. Approved Leave of Absence (LOA); 2.a.2. Accomplished re-admission form; 2.a.3. Certification of Grades; and 2.a.4. Result of evaluation of grades by the Program Chair / Registration Adviser. b. Securing Leave of Absence (LOA) An undergraduate student who will not enroll for one (1) semester or to a maximum of 2 years shall file a Leave of Absence (LOA):']","Transferees need to submit credentials for evaluation, secure a validation from the Registrar’s Office, pay a validation fee, report to the Program Chair for test validation, and submit validation test results to the Registrar’s Office.

Do you want more details on any specific document or step in this process?","Transferees must submit a Certification of Grades showing all subjects taken from the school last attended, Honorable Dismissal, Certificate of Good Moral Character, four copies of 2x2 ID picture with white background and name tag, an authenticated PSA copy of the Birth Certificate, and accomplished Substitution and Validation forms for subjects taken at other schools.",1.0,0.46137357989043914,0.5,0.0
"Aside from documents, what must all incoming freshmen and transferees pass before being admitted?","['10 | S T U D E N T M A N U A L Note: All incoming freshmen and transferee students must comply with additional requirements and pass the following: 1. Entrance / admission test administered by the Office of Student Affairs and Services; 2. Interview of the screening committee of the college; and 3. Medical and dental examination administered by the University. c. Foreign Students must submit the following: 1.c.1. University Admission Test/College Admission Test; 1.c.2. Passport/ Valid Student Visa/ Student Study Permit/ Student Visa Conversion; 1.c.3. Four (4) copies of 2x2 colored ID picture; 1.c.4. Student permit - certification from the embassy of the country of origin for his/ her eligibility to study in the Philippines; 1.c.5. Two (2) copies of affidavit of support or certification from a reputable bank in the applicant’s country of origin about his/her capability to finance travel, educational, personal and other expenses that are expected to be incurred while staying in the Philippines; 1.c.6. Authenticated copy of birth certificate; 1.c.7. Certificate of completion of a secondary curriculum or its equivalent (Authenticated TOR from the school/university graduated in the home country); 1.c.8. Pay the non-refundable application fee; 1.c.9. Certificate of good moral character issued by the last school attended; 1.c.10. Security clearance from the Philippine Embassy; 1.c.11. Alien Certification of Registration (ARC); 1.c.12. Statement of Personal History; 1.c.13. English Proficiency Test score. For test of English as a foreign language (TOFEL), the score must be equivalent to at least 80 or a band score of at least 5.0 in an International English Language Testing System (IELTS);']","All incoming freshmen and transferee students need to pass the entrance/admission test, an interview with the screening committee of their college, and a medical and dental examination. Parang mga basic requirements para makapasa.

Is there anything else you want to know about these admission processes?","They must pass the entrance/admission test administered by the Office of Student Affairs and Services, an interview with the college screening committee, and a medical and dental examination administered by the University.",1.0,0.6071374399767993,1.0,0.9999999999
What requirements must foreign students submit to be admitted to ISU?,"['10 | S T U D E N T M A N U A L Note: All incoming freshmen and transferee students must comply with additional requirements and pass the following: 1. Entrance / admission test administered by the Office of Student Affairs and Services; 2. Interview of the screening committee of the college; and 3. Medical and dental examination administered by the University. c. Foreign Students must submit the following: 1.c.1. University Admission Test/College Admission Test; 1.c.2. Passport/ Valid Student Visa/ Student Study Permit/ Student Visa Conversion; 1.c.3. Four (4) copies of 2x2 colored ID picture; 1.c.4. Student permit - certification from the embassy of the country of origin for his/ her eligibility to study in the Philippines; 1.c.5. Two (2) copies of affidavit of support or certification from a reputable bank in the applicant’s country of origin about his/her capability to finance travel, educational, personal and other expenses that are expected to be incurred while staying in the Philippines; 1.c.6. Authenticated copy of birth certificate; 1.c.7. Certificate of completion of a secondary curriculum or its equivalent (Authenticated TOR from the school/university graduated in the home country); 1.c.8. Pay the non-refundable application fee; 1.c.9. Certificate of good moral character issued by the last school attended; 1.c.10. Security clearance from the Philippine Embassy; 1.c.11. Alien Certification of Registration (ARC); 1.c.12. Statement of Personal History; 1.c.13. English Proficiency Test score. For test of English as a foreign language (TOFEL), the score must be equivalent to at least 80 or a band score of at least 5.0 in an International English Language Testing System (IELTS);']","Foreign students need to submit several documents and complete certain procedures:

- **University Admission Test/College Admission Test**
- Passport or Valid Student Visa, Student Study Permit, or Student Visa Conversion
- Four (4) copies of 2x2 colored ID picture
- Student permit - certification from the embassy of their country confirming eligibility to study in the Philippines
- Two (2) copies of affidavit of support or bank certification about financial capability
- Authenticated copy of birth certificate
- Certificate of completion of secondary curriculum or its equivalent, authenticated by the school/university graduated in the home country
- Non-refundable application fee
- Certificate of good moral character from the last school attended
- Security clearance from the Philippine Embassy
- Alien Certification of Registration (ARC)
- Statement of Personal History
- English Proficiency Test score (TOFEL 80 or IELTS band 5.0)

Do you need more details on any specific requirement?","Foreign students submit the University/College Admission Test result, passport or valid student visa/permit, four copies of 2x2 colored ID picture, a student permit from their embassy, an affidavit of support or bank certification of financial capacity, an authenticated birth certificate, a certificate of secondary completion (authenticated TOR), the non-refundable application fee, a certificate of good moral character, security clearance from the Philippine Embassy, an Alien Certificate of Registration, a Statement of Personal History, and an English proficiency score (TOEFL at least 80 or IELTS at least 5.0).",1.0,0.47185562984998586,1.0,0.9999999999
What are the enrollment procedures for freshmen and transferees?,"['9 | S T U D E N T M A N U A L Chapter II ACADEMIC REQUIREMENTS, PROCESS AND PROCEDURES The University shall admit or re-admit students who meet the following requirements: 1. GENERAL ADMISSION REQUIREMENTS FOR ALL ACADEMIC PROGRAMS a. Incoming Freshmen must submit the following: 1.a.1. Report Card (Form 138); 1.a.2. Certificate of Good Moral Character; 1.a.3. Photocopy of Senior High School Diploma; 1.a.4. University Admission Test Result; 1.a.5. Four (4) Copies of 2x2 ID Picture; 1.a.6. Certificate of Physical/Medical Examination; 1.a.7. PSA/NSO Authenticated Copy of Birth Certificate; and 1.a.8. Other requirements prescribed by the College/Department, CHED, PRC as deemed necessary. b. Transferees from SUCs and Non SUCs must submit the following: 1.b.1. Certification of Grades showing all the subjects taken from the school last attended; 1.b.2. Honorable Dismissal; 1.b.3. Certificate of Good Moral Character; 1.b.4. Four (4) copies of 2x2 ID picture with white background and name tag (scanned picture or digital copy not accepted); 1.b.5. Authenticated PSA copy of Birth Certificate; 1.b.6. Accomplished Substitution Form of subjects taken from other SUCs as deemed necessary; and 1.b.7. Accomplished Validation Form of subjects taken from non- SUCs.', '13 | S T U D E N T M A N U A L 4.a.2. Undergo Medical/ Dental Examination at the University Infirmary; 4.a.3. Secure student number from the Office of Student Affairs and Services (OSAS)/ Registrar’s Office; 4.a.4. Submit admission requirements to the Registrar’s Office where subjects are encoded and fees are assessed; 4.a.5. Pay the assessed fees at the Cashier’s Office (as applicable); 4.a.6. For scholars, get approval of scholarship from the OSAS (as applicable); 4.a.7. Enroll National Service Training Program (NSTP) at the NSTP office (as applicable); and Proceed to the Campus Business Affairs Office (CBAO) for I.D. Processing. 4.b. Continuing/ Old Students 4.b.1. Accomplish Student Cumulative Record at the Guidance Office; 4.b.2. Secure certification of grades from the college/ Registrar’s office; 4.b.3. Accomplish pre-registration form to be approved by the registration adviser; 4.b.4. Proceed to the Registrar’s Office for the encoding of subjects and assessment of fees; 4.b.5. For scholars, get approval of scholarship from the OSAS (as applicable); and 4.b.6. Pay the assessed fees at the Cashier’s Office (as applicable). 4.c. Returnee and Continuing Professional Education (CPE)students 4.c.1. Accomplish Admission Form and Student Cumulative Record at the Guidance Office; 4.c.2. Proceed to the Program Chair for interview/ advising; 4.c.3. Proceed to the Registrar’s Office for the encoding of subjects and assessment of fees; and 4.c.4. Pay to the Cashier’s office the assessed fees (as applicable).']","For freshmen, you need to submit your report card, certificate of good moral character, senior high school diploma, university admission test result, ID pictures, physical examination certificate, and birth certificate. Transferees should bring their certification of grades, honorable dismissal, certificate of good moral character, ID pictures, authenticated copy of birth certificate, substitution form for subjects from other SUCs, and validation form for non-SUC subjects.

Do you need more details on any specific step?","Proceed to the Program Chair/Dean for an interview, undergo a medical/dental examination at the University Infirmary, secure a student number from OSAS/Registrar, submit admission requirements to the Registrar's Office for encoding of subjects and assessment of fees, pay the assessed fees at the Cashier's Office, get scholarship approval from OSAS if applicable, enroll in NSTP if applicable, and proceed to the Campus Business Affairs Office for ID processing.",1.0,0.6506952975624729,0.875,0.49999999995
How long can a leave of absence last and what happens if it is exceeded?,"['88 | S T U D E N T M A N U A L 2. Leave of Absence- permission not to enroll in the University for at least one semester but not to exceed one year, subject to appeal beyond one year. 3. Validation- the determination of the degree, subject and/or unit a transferee has taken in his/her previous school and assess if it can be carried and considered as completed units for the course enrolled in the University. 4. Dropping- the process of officially excluding a subject from the number of officially enrolled subjects for a given term, due to valid reason within the prescribed reglementary period. 5. Adding- the process of inclusion of a subject in addition to the number of subjects officially enrolled by a student in a given term, due to valid reasons, within the prescribed reglementary period. 6. Returnee Students- students considered for readmission depending on their previous scholastic performance, and the availability of slots/ and must have complied with all the requirements for readmission. 7. Cross-Enrollment- the process of earning an academic unit/subject within the system or in another HEI. 8. Fusing- the process of merging/ combining classes as deemed necessary.', '12 | S T U D E N T M A N U A L 2.b.1. Secure and accomplish Exit and LOA Form from the OSAS; 2.b.2. Submit duly accomplished LOA Form to the Registrar’s Office; 2.b.3. LOA shall not exceed two (2) academic years; and 2.b.4. Returning students on LOA for more than two (2) academic years shall be required to take six units refresher subjects related to his/her course to be determined by the program chair. Note: 1. Leave of absence shall be excluded from the prescribed number of years the student is expected to finish the curriculum and maximum residency allowed. 2. For returning students and other students who went on a leave of absence, the determination and computation of their free higher education benefits shall be without prejudice to the most expedient way of completing their studies, as subsumed under Section 6 of the RA 10931. 3. REGISTRATION PROCEDURES Freshmen and Transferees 3.a.1. Accomplish application form for Admission Test from the Office of Student Affairs and Services (OSAS) through the Guidance Office; 3.a.2. Pay testing fee at the Cashier’s Office (as applicable); and 3.a.3. Take the test and secure test results from the Guidance Unit. 4. ENROLLMENT PROCEDURES 4.a. Freshmen and Transferees 4.a.1. Proceed to the concerned Program Chair/ Dean for interview;']","A leave of absence can last up to two academic years. If it exceeds this period, returning students must take six units of refresher subjects related to their course, determined by the program chair.

Do you want more details on how to apply for a leave of absence?",A leave of absence shall not exceed two academic years; returning students who were on leave for more than two academic years must take six units of refresher subjects related to their course as determined by the program chair.,1.0,0.5269181472834125,1.0,0.49999999995
What is the grade equivalent of a 98 to 100 percent rating?,"['24 | S T U D E N T M A N U A L 18. GRADING SYSTEM The following approved grading system shall be adopted Percent Equivalent Grade Description 98 – 100 1.00 Excellent 95 – 97 1.25 Very Satisfactory 92 – 94 1.50 Satisfactory 89 – 91 1.75 Fairly Satisfactory 86 – 88 2.00 Good 83 – 85 2.25 Fairly Good 80 – 82 2.50 Fair 77 – 79 2.75 Below Fair 75 – 76 3.00 Passed Incomplete INC. Requirements not fully met 74 and below 5.00 Failed 18.a. A grade of “5.0” means failed; re- enrollment of the subject is required. 18.b. An INC grade is given to a student whose class standing throughout the semester is passing but fails to satisfy any of the prescribed requirements by the subject teacher. 18.c. Students who incurred Incomplete grades after the issuance of Honorable Dismissal will no longer be allowed to complete even if the reglementary period of one (1) academic year for the completion has not yet lapsed. 18.d. For a student to be able to clear his/ her deficiencies, should be officially enrolled in the University. 18.e. Completion shall be made within one academic year otherwise the “Incomplete” mark shall automatically become “5.0”. 18.f. Completion form shall be accomplished and filed at the Registrar’s Office. 18.g. Completion fee of Php. 50.00 per subject shall be paid at the Cashier’s Office', '– students who failed in 100% of the academic units enrolled during the semester will no longer be allowed to enroll in any program offered in all campuses of the university. *Students under any status will be advised to undergo mentoring and may enroll in optional course audit/ remedial classes in order for them to have better chances to pass the subject. Note: Other requirements/ criteria prescribed by the PSG/CMO of the program and the concerned college may be applied. [Table] |2. A quota system based on ranking of all applicants shall be implemented depending on the number of sections to be offered for first year.|Col2|Col3| |---|---|---| |3. 20% of the qualified first year students per program belongs to the|3. 20% of the qualified first year students per program belongs to the|<br>| |disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and| |ethnic/minority groups).|ethnic/minority groups).|ethnic/minority groups).| |||| |4. At least 75% of the admitted students fall under the bottom 20% of|4. At least 75% of the admitted students fall under the bottom 20% of|| |household groups will graduate on time.|household groups will graduate on time.|household groups will graduate on time.|']","The grade equivalent for a 98 to 100 percent rating is **1.00**, which means Excellent.

Do you need more details about other grades or policies related to grading?","A percentage rating of 98 to 100 is equivalent to a grade of 1.00, described as Excellent.",1.0,0.719727566032426,1.0,0.9999999999
What grade is considered failing and what does it require?,"['24 | S T U D E N T M A N U A L 18. GRADING SYSTEM The following approved grading system shall be adopted Percent Equivalent Grade Description 98 – 100 1.00 Excellent 95 – 97 1.25 Very Satisfactory 92 – 94 1.50 Satisfactory 89 – 91 1.75 Fairly Satisfactory 86 – 88 2.00 Good 83 – 85 2.25 Fairly Good 80 – 82 2.50 Fair 77 – 79 2.75 Below Fair 75 – 76 3.00 Passed Incomplete INC. Requirements not fully met 74 and below 5.00 Failed 18.a. A grade of “5.0” means failed; re- enrollment of the subject is required. 18.b. An INC grade is given to a student whose class standing throughout the semester is passing but fails to satisfy any of the prescribed requirements by the subject teacher. 18.c. Students who incurred Incomplete grades after the issuance of Honorable Dismissal will no longer be allowed to complete even if the reglementary period of one (1) academic year for the completion has not yet lapsed. 18.d. For a student to be able to clear his/ her deficiencies, should be officially enrolled in the University. 18.e. Completion shall be made within one academic year otherwise the “Incomplete” mark shall automatically become “5.0”. 18.f. Completion form shall be accomplished and filed at the Registrar’s Office. 18.g. Completion fee of Php. 50.00 per subject shall be paid at the Cashier’s Office', '– students who failed in 100% of the academic units enrolled during the semester will no longer be allowed to enroll in any program offered in all campuses of the university. *Students under any status will be advised to undergo mentoring and may enroll in optional course audit/ remedial classes in order for them to have better chances to pass the subject. Note: Other requirements/ criteria prescribed by the PSG/CMO of the program and the concerned college may be applied. [Table] |2. A quota system based on ranking of all applicants shall be implemented depending on the number of sections to be offered for first year.|Col2|Col3| |---|---|---| |3. 20% of the qualified first year students per program belongs to the|3. 20% of the qualified first year students per program belongs to the|<br>| |disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and|disadvantage applicants (low income, student with disabilities and| |ethnic/minority groups).|ethnic/minority groups).|ethnic/minority groups).| |||| |4. At least 75% of the admitted students fall under the bottom 20% of|4. At least 75% of the admitted students fall under the bottom 20% of|| |household groups will graduate on time.|household groups will graduate on time.|household groups will graduate on time.|']","A grade of **5.0** means you've failed, and re-enrollment of the subject is required.

To avoid getting a 5.0 or to address an incomplete (INC) grade, here’s what you need:
- Officially enroll in the university.
- Complete any missing requirements within one academic year.
- Pay a completion fee of Php **50.00** per subject at the Cashier's Office.

Do you want more details on how to clear your deficiencies?","A grade of 5.00 (74% and below) means failed, and re-enrollment of the subject is required.",0.8,0.3981504072040068,1.0,0.9999999999
What is the maximum academic load a student may take in a semester?,"['21 | S T U D E N T M A N U A L 9. ACADEMIC LOAD 9.a. The maximum semestral academic load in the various programs shall be required for all regular students in all year levels. 9.b. A maximum of 27 units shall be allowed for graduating students except those under Education programs who are undergoing practice teaching, wherein they are only allowed to enroll a maximum of 12 units. Note: Policies on the qualifications of students to undergo OJT/ Internship/ Field Practice in the Philippines may be referred to the Section 16 of CMO No. 104, s. 2017, and CMO No. 22, s. 2013 for Policies, Standards and Guidelines (PSGs) on Student Internship Abroad Program (SIAP). 10. ACADEMIC CREDIT SYSTEM 10.a. Generally, every lecture subject with a class meeting of three (3) hours a week is equivalent to three (3) credit units. A laboratory subject with a class meeting of three (3) hours a week is equivalent to one (1) credit unit, except for Nursing which is governed by CMO No. 14, s. 2009. 10.b. The sequence of subjects enrolled shall be in accordance with the approved curriculum. Subjects taken and completed without passing the pre-requisite subject shall not be credited. 11. SCHOOL TERMS The academic year is composed of three (3) terms: two (2) semesters with eighteen (18) weeks each, and one (1) mid-year term of six (6) weeks.']","The maximum semestral academic load for regular students at Isabela State University is **27 units**. 

Graduating students can also enroll up to 27 units, except those in Education programs who are undergoing practice teaching and are limited to **12 units**.

Do you need more details on the credit system or any other policies?","A maximum of 27 units is allowed for graduating students, except those under Education programs undergoing practice teaching, who may enroll a maximum of 12 units.",0.3333333333333333,0.565076458556834,1.0,0.9999999999
What is the maximum residency period for a four-year program?,"['18 | S T U D E N T M A N U A L 2. Advanced Credits Advanced credits will be granted to college graduates who would wish to enroll another degree subject to the evaluation and endorsement of the program chair, college secretary, college dean, and registrar. 3. Residency The maximum number of years that a student is allowed to pursue an academic program shall be 1.5 times the prescribed number of years for the program. Based on the above, the prescribed number of years of residency are as follows: Two - year course - 3.0 years Four - year course - 6.0 years Five - year course - 7.5 years Six - year course - 9.0 years Note: Should the student exceed the prescribed maximum residency period, he/she shall no longer be allowed to re-enroll in the course except for highly justifiable/ valid reasons and for the completion of thesis, feasibility studies, project studies and other graduation requirements of similar nature subject to the approval of the President of the request of the student for extension through the dean/ campus head and the VP ARA after thorough evaluation of the merits of the request; however, he/she maybe allowed to enroll in other courses. 3.1 Transferees Baccalaureate -1-year residency']","The maximum residency period for a four-year program is **6.0 years**.

Do you need more details on any specific part of this policy?","Maximum residency is 1.5 times the prescribed number of years, so a four-year course allows 6.0 years (a five-year course allows 7.5 years).",1.0,0.8309344569194134,1.0,0.9999999999
