question,escalated,goal_accuracy,topic_adherence_precision,topic_adherence_recall,topic_adherence_f1
What are the admission requirements for incoming freshmen?,False,0.0,0.9999999999,0.9999999999,0.99999999985
What documents must a transferee submit for admission?,False,0.0,0.99999999995,0.99999999995,0.9999999999
"Aside from documents, what must all incoming freshmen and transferees pass before being admitted?",False,1.0,0.99999999995,0.99999999995,0.9999999999
What requirements must foreign students submit to be admitted to ISU?,False,0.0,0.99999999995,0.99999999995,0.9999999999
What are the enrollment procedures for freshmen and transferees?,False,0.0,0.99999999995,0.99999999995,0.9999999999
How long can a leave of absence last and what happens if it is exceeded?,False,1.0,0.499999999975,0.9999999999,0.6666666665777777
What is the grade equivalent of a 98 to 100 percent rating?,False,1.0,0.99999999995,0.99999999995,0.9999999999
What grade is considered failing and what does it require?,False,1.0,0.99999999995,0.99999999995,0.9999999999
"What happens to an Incomplete (INC) grade if it is not completed on time, and what is the completion fee?",True,0.0,0.99999999995,0.99999999995,0.9999999999
What is the maximum academic load a student may take in a semester?,False,1.0,0.99999999995,0.99999999995,0.9999999999
What is the maximum residency period for a four-year program?,False,1.0,0.499999999975,0.9999999999,0.6666666665777777
What are the General Weighted Average ranges for graduating with Latin honors?,False,1.0,0.6666666666444444,0.99999999995,0.79999999992
What are the retention policies based on the number of failed units in a semester?,False,0.0,0.6666666666444444,0.99999999995,0.79999999992
When and where should a student apply for graduation?,True,0.0,0.0,0.9999999999,0.6666666665777777
How do I drop a subject and when must the dropping form be submitted?,False,1.0,0.99999999995,0.99999999995,0.9999999999
What are the rules for shifting to another program?,False,1.0,0.0,0.0,0.0
What are the requirements to be granted honorable dismissal?,False,0.0,0.99999999995,0.99999999995,0.9999999999
What are the academic gown or hood colors for Nursing and Engineering graduates?,False,0.0,0.0,0.0,0.0
How much is the cash incentive for the Entrance Scholarship?,False,1.0,0.9999999999,0.9999999999,0.99999999985
What GWA is required to qualify for the University Scholarship?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
What is the difference between a University Scholar and a College Scholar?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
How much is the cash incentive for the Editor-in-Chief under the Publication Scholarship?,True,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the cash incentives for Campus SSC officers?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the cash incentives for regional placers in the board examination?,False,0.0,0.0,0.0,0.0
What conditions does a scholar agree to in the Scholarship Contract?,False,1.0,0.99999999995,0.99999999995,0.9999999999
How much is the tuition fee per unit at ISU?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the modes of payment of school fees?,False,0.0,0.99999999995,0.99999999995,0.9999999999
What is the refund schedule for school fees?,True,0.0,0.9999999999,0.9999999999,0.99999999985
What does the free higher education under RA 10931 cover?,False,0.0,0.0,0.0,0.0
Who is ineligible to avail of free higher education?,False,1.0,0.0,0.0,0.0
How much is the student Mutual Aid Fund contribution?,True,0.0,0.0,0.0,0.0
What services are included under Student Welfare Services?,False,0.0,0.6666666666444444,0.99999999995,0.79999999992
What health services does the University provide to students?,False,0.0,0.99999999995,0.99999999995,0.9999999999
How does ISU handle student housing and the monitoring of boarding houses?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the library's operating hours according to the Campus Facilities Guide?,False,0.0,0.99999999995,0.99999999995,0.9999999999
Which offices are housed in the Main Administration Building and what are its hours?,False,1.0,0.499999999975,0.9999999999,0.6666666665777777
What should a student do if they lose their ID?,True,0.0,0.99999999995,0.99999999995,0.9999999999
What is the Facebook page of the Office of Student Affairs and Services?,False,0.0,0.9999999999,0.9999999999,0.99999999985
"How many students are needed to form a new student organization, and what must they submit?",True,0.0,0.9999999999,0.0,0.0
How far in advance must an Activity Permit be filed?,False,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the rules for conducting raffles on campus for fundraising?,False,1.0,0.99999999995,0.99999999995,0.9999999999
What is the maximum fine for organization members who do not participate in activities?,False,1.0,0.99999999995,0.99999999995,0.9999999999
What is the prescribed student attire policy and what clothing is not allowed?,False,1.0,0.0,0.0,0.0
What are the penalties for minor offenses?,True,0.0,0.499999999975,0.9999999999,0.6666666665777777
What are the penalties for major offenses?,False,1.0,0.499999999975,0.9999999999,0.6666666665777777
Give examples of acts classified as major offenses.,False,1.0,0.0,0.0,0.0
What grooming rules apply to students under the Code of Conduct?,False,0.0,0.3333333333222222,0.9999999999,0.4999999999375
What rights do students have regarding their academic records and graduation?,False,0.0,0.3333333333222222,0.9999999999,0.4999999999375
How is the mandatory random drug testing of students conducted?,False,0.0,0.99999999995,0.99999999995,0.9999999999
Who handles disputes between students from different campuses?,False,1.0,0.499999999975,0.9999999999,0.6666666665777777
How much is the monthly rent at the ISU Student Dormitory?,True,1.0,0.499999999975,0.9999999999,0.99999999985
What is the Wi-Fi password for the campus library?,True,1.0,0.9999999999,0.9999999999,0.99999999985
What is the exact passing score required to pass the ISU entrance examination?,True,1.0,0.9999999999,0.9999999999,0.99999999985
What are the official enrollment dates for the first semester of School Year 2026 to 2027?,True,1.0,0.3333333333222222,0.9999999999,0.4999999999375
How much does a meal cost at the campus canteen?,True,1.0,0.9999999999,0.9999999999,0.99999999985
What is the direct contact number of the Office of the Campus President?,True,1.0,0.9999999999,0.9999999999,0.6666666665777777
